year,name,state,total_mwh,total_cust,no,type,saidi_nomed,saifi_nomed,caidi_nomed,circuits,voltage,nerc,gen_mwh,purchase_mwh,pv_mwh,wind_mwh,nm_mwh,pv_pct,wind_pct,nm_pct,circuit_pct
2019.0,El Paso Electric Co,TX,6330716.0,328756.0,5701.0,Investor Owned,76.386,0.972,78.58642,292.0,272.0,WECC,10245719.0,2062465.0,5804.519,0.0,5804.519,0.09168819135149958,0.0,0.09168819135149958,93.15068493150685
2019.0,City of Elk River,MN,325981.0,12244.0,5773.0,Municipal,25.412,0.423,60.07565,33.0,0.0,MRO,88.0,336571.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019.0,Empire District Electric Co,MO,4210798.0,155425.0,5860.0,Investor Owned,138.16,1.193,115.80889,262.0,0.0,SPP,5036956.0,1517778.0,3207.996,0.0,3207.996,0.07618498916357422,0.0,0.07618498916357422,0.0
2019.0,"Empire Electric Assn, Inc",CO,834086.0,15091.0,5862.0,Cooperative,35.4,.,.,71.0,63.0,WECC,960.0,862946.0,145.0,0.0,145.0,0.01738429850159336,0.0,0.01738429850159336,88.73239436619718
2019.0,Borough of Ephrata - (PA),PA,137807.0,6679.0,5935.0,Municipal,31.599,0.994,31.789738,7.0,0.0,RFC,0.0,153988.0,22.088,0.0,22.088,0.01602821337087376,0.0,0.01602821337087376,0.0
2019.0,City of Eugene - (OR),OR,2367667.0,94751.0,6022.0,Municipal,69.37,0.47,147.59574,163.0,0.0,WECC,143186.0,3885484.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019.0,Fall River Rural Elec Coop Inc,ID,268101.0,15112.0,6169.0,Cooperative,175.435,1.611,108.8982,64.0,0.0,WECC,51376.0,333147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019.0,"Farmers Electric Coop, Inc - (TX)",TX,1317307.0,68331.0,6182.0,Cooperative,83.953,1.281,65.53708,71.0,0.0,TRE,0.0,1361953.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019.0,Farmers Rural Electric Coop Corp - (KY),KY,500431.0,25612.0,6194.0,Cooperative,138.28,1.48,93.432432,68.0,0.0,RFC,0.0,524796.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019.0,City of Farmington - (NM),NM,985009.0,44877.0,6204.0,Municipal,110.705,0.956,115.80021,65.0,0.0,WECC,775760.0,220001.0,699.812,0.0,699.812,0.071046254399706,0.0,0.071046254399706,0.0
2019.0,Federated Rural Electric Assn,MN,422635.0,6856.0,6258.0,Cooperative,134,1.49,89.932886,65.0,0.0,MRO,5833.0,443068.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019.0,"Firelands Electric Coop, Inc",OH,147352.0,9103.0,6335.0,Cooperative,226,.,.,28.0,0.0,RFC,0.0,155816.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019.0,First Electric Coop Corp,AR,1977327.0,95463.0,6342.0,Cooperative,160.904,2.063,77.995153,149.0,149.0,SERC,0.0,2067907.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
