name,state,total_mwh,total_cust,no,type,saidi_nomed,saifi_nomed,caidi_nomed,circuits,voltage,nerc,gen_mwh,purchase_mwh,ba,pv_mwh,wind_mwh,nm_mwh,ee_mwh,dem_res_customers,dem_res_mwh,wind_pct
Town of Wake Forest - (NC),NC,157035.0,6502.0,19974.0,Municipal,.,.,.,6.0,6.0,SERC,0.0,159726.0,,,,,,,,
Wake Electric Membership Corp,NC,811376.0,46983.0,19981.0,Cooperative,87.2,1.091,79.926673,74.0,70.0,SERC,0.0,847236.0,CPLE,347.92,0.0,347.92,1882.0,8.0,0.689,
Town of Wallingford - (CT),CT,567341.0,25225.0,20038.0,Municipal,.,.,.,25.0,0.0,NPCC,0.0,583943.0,ISNE,444.839,0.0,444.839,3002.0,,,
Walton Electric Member Corp,GA,2629593.0,130313.0,20065.0,Cooperative,93.422,1.189,78.571909,87.0,0.0,SERC,0.0,2720072.0,SOCO,0.0,0.0,0.0,,,,
Warren County Rural E M C,IN,100865.0,4836.0,20111.0,Cooperative,.,.,.,33.0,0.0,RFC,0.0,111864.0,,,,,,,,
Warren Rural Elec Coop Corp,KY,2113711.0,67611.0,20130.0,Cooperative,136.086,1.794,75.856187,137.0,0.0,SERC,0.0,2199748.0,,,,,,,,
City of Warroad,MN,57511.0,957.0,20134.0,Municipal,.,.,.,5.0,0.0,MRO,0.0,58688.0,,,,,,,,
City of Washington - (UT),UT,118436.0,8132.0,20135.0,Municipal,.,.,.,18.0,7.0,WECC,989.0,119405.0,PACE,0.0,0.0,0.0,,,,
City of Waseca - (MN),MN,57432.0,4184.0,20136.0,Municipal,18.2,0.32,56.875,5.0,0.0,MRO,0.0,61207.0,MISO,10.006,0.0,10.006,774.4,1599.0,23.9,
Washington Elec Member Corp,GA,363567.0,15603.0,20146.0,Cooperative,909.71,.,.,40.0,40.0,SERC,0.0,379315.0,SOCO,7.635,0.0,14.475,,,,
Avista Corp,ID,3342089.0,135562.0,20169.0,Investor Owned,167,1.18,141.52542,155.0,27.0,,,,AVA,0.0,0.0,0.0,24868.18,,,
Avista Corp,WA,5672876.0,257394.0,20169.0,Investor Owned,121,0.82,147.56098,192.0,68.0,WECC,7573513.0,5344702.0,AVA,0.01,0.0,0.01,42064.789,,,
Watertown Municipal Utilities,SD,378108.0,13206.0,20187.0,Municipal,16.326,0.174,93.827586,22.0,0.0,MRO,0.0,392935.0,,,,,2029.2,,,
Village of Waunakee - (WI),WI,118605.0,6531.0,20211.0,Municipal,80.63,0.54,149.31481,16.0,0.0,MISO,0.0,122440.0,MISO,0.0,0.0,0.0,,,,
Waupun Utilities,WI,107504.0,4410.0,20213.0,Municipal,2.41,0.017,141.76471,18.0,0.0,MISO,0.0,109034.0,MISO,0.0,0.0,0.0,,,,
